,listing_id,f,t,popularity
127,369940,193.0,172.0,0.5287671232876713
128,377474,104.0,261.0,0.28493150684931506
129,395975,41.0,324.0,0.11232876712328767
130,400067,117.0,248.0,0.32054794520547947
131,414419,40.0,325.0,0.1095890410958904
132,442735,28.0,337.0,0.07671232876712329
133,447826,70.0,295.0,0.1917808219178082
134,453660,73.0,292.0,0.2
135,466361,364.0,1.0,0.9972602739726028
136,472070,56.0,309.0,0.15342465753424658
137,475254,27.0,338.0,0.07397260273972603
138,475259,17.0,348.0,0.04657534246575343
139,496022,337.0,28.0,0.9232876712328767
140,497810,129.0,236.0,0.35342465753424657
141,508017,67.0,298.0,0.18356164383561643
142,519272,365.0,0.0,1.0
143,526970,37.0,328.0,0.10136986301369863
144,530983,348.0,17.0,0.9534246575342465
145,531552,43.0,322.0,0.1178082191780822
146,533114,52.0,313.0,0.14246575342465753
147,533152,59.0,306.0,0.16164383561643836
148,536865,66.0,299.0,0.18082191780821918
149,543078,36.0,329.0,0.09863013698630137
150,543188,1.0,364.0,0.0027397260273972603
151,554720,57.0,308.0,0.15616438356164383
152,561769,327.0,38.0,0.8958904109589041
153,568234,37.0,328.0,0.10136986301369863
154,570493,284.0,81.0,0.7780821917808219
155,579605,39.0,326.0,0.10684931506849316
156,583255,117.0,248.0,0.32054794520547947
157,585148,101.0,264.0,0.27671232876712326
158,586994,67.0,298.0,0.18356164383561643
159,594693,37.0,328.0,0.10136986301369863
160,601763,65.0,300.0,0.1780821917808219
161,611081,23.0,342.0,0.06301369863013699
162,619142,118.0,247.0,0.3232876712328767
163,625012,289.0,76.0,0.7917808219178082
164,627048,1.0,364.0,0.0027397260273972603
165,629814,211.0,154.0,0.5780821917808219
166,639101,178.0,187.0,0.4876712328767123
167,639111,178.0,187.0,0.4876712328767123
168,646087,222.0,143.0,0.6082191780821918
169,650956,53.0,312.0,0.14520547945205478
170,658029,81.0,284.0,0.2219178082191781
171,665035,1.0,364.0,0.0027397260273972603
172,667325,244.0,121.0,0.6684931506849315
173,693353,4.0,361.0,0.010958904109589041
174,697078,88.0,277.0,0.2410958904109589
175,705900,73.0,292.0,0.2
176,705919,50.0,315.0,0.136986301369863
177,708802,61.0,304.0,0.16712328767123288
178,713627,365.0,0.0,1.0
179,716245,117.0,248.0,0.32054794520547947
180,716512,1.0,364.0,0.0027397260273972603
181,716643,1.0,364.0,0.0027397260273972603
182,721979,1.0,364.0,0.0027397260273972603
183,728238,15.0,350.0,0.0410958904109589
184,732932,63.0,302.0,0.1726027397260274
185,732999,73.0,292.0,0.2
186,735970,365.0,0.0,1.0
187,737519,24.0,341.0,0.06575342465753424
188,743211,31.0,334.0,0.08493150684931507
189,749247,16.0,349.0,0.043835616438356165
190,750438,222.0,143.0,0.6082191780821918
191,753446,18.0,347.0,0.049315068493150684
192,754845,43.0,322.0,0.1178082191780822
193,766700,64.0,301.0,0.17534246575342466
194,771309,148.0,217.0,0.4054794520547945
195,777903,4.0,361.0,0.010958904109589041
196,789843,359.0,6.0,0.9835616438356164
197,798957,232.0,133.0,0.6356164383561644
198,799701,232.0,133.0,0.6356164383561644
199,801680,40.0,325.0,0.1095890410958904
200,801722,27.0,338.0,0.07397260273972603
201,815639,53.0,312.0,0.14520547945205478
202,820073,28.0,337.0,0.07671232876712329
203,822063,361.0,4.0,0.989041095890411
204,824244,365.0,0.0,1.0
205,826555,233.0,132.0,0.6383561643835617
206,826706,109.0,256.0,0.29863013698630136
207,831744,20.0,345.0,0.0547945205479452
208,839265,44.0,321.0,0.12054794520547946
209,848152,33.0,332.0,0.09041095890410959
210,849408,258.0,107.0,0.7068493150684931
211,851927,34.0,331.0,0.09315068493150686
212,879929,243.0,122.0,0.6657534246575343
213,890705,66.0,299.0,0.18082191780821918
214,891661,154.0,211.0,0.42191780821917807
215,891953,214.0,151.0,0.5863013698630137
216,894539,364.0,1.0,0.9972602739726028
217,901914,365.0,0.0,1.0
218,903598,1.0,364.0,0.0027397260273972603
219,915272,60.0,305.0,0.1643835616438356
220,916123,50.0,315.0,0.136986301369863
221,932853,28.0,337.0,0.07671232876712329
222,947751,365.0,0.0,1.0
223,950046,168.0,197.0,0.4602739726027397
224,951473,1.0,364.0,0.0027397260273972603
225,951476,5.0,360.0,0.0136986301369863
226,951480,1.0,364.0,0.0027397260273972603
227,957224,45.0,320.0,0.1232876712328767
228,962610,37.0,328.0,0.10136986301369863
229,965554,1.0,364.0,0.0027397260273972603
230,971393,92.0,273.0,0.25205479452054796
231,973695,0.0,365.0,0.0
232,973840,361.0,4.0,0.989041095890411
233,979759,6.0,359.0,0.01643835616438356
234,986399,365.0,0.0,1.0
235,989163,47.0,318.0,0.12876712328767123
236,990668,216.0,149.0,0.5917808219178082
237,994138,72.0,293.0,0.19726027397260273
238,994317,0.0,365.0,0.0
239,1030500,49.0,316.0,0.13424657534246576
240,1038465,32.0,333.0,0.08767123287671233
241,1042420,64.0,301.0,0.17534246575342466
242,1044307,3.0,362.0,0.00821917808219178
243,1051482,117.0,248.0,0.32054794520547947
244,1059604,6.0,359.0,0.01643835616438356
